Internal ID,SPS Trading Partner Sender ID,Document Number,Date,PRO Number,BOL Number,SCAC,CarrierRouting,ShipDate,Note,TaxTypeCode,TaxTypeCode 2,TaxAmount,TaxAmount 2,TaxPercent,TaxPercent 2,InvoiceQty,PurchasePrice,TotalAmount,TotalSalesAmount,TotalTermsDiscountAmount,TotalLineItemNumber,InvoiceAmtDueByTermsDate,CustomerPartNumber,VendorPartNumber,PurchaseOrderNumber
5007519,ZZ:805150,INV1100548909919249,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919249,,,,,,,24,278.00,9334.40,6672.00,.00,2,9334.40,668863274,RJ54-G-SS,7333943063
5007519,ZZ:805150,INV1100548909919249,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919249,,,,,,,128,20.80,9334.40,2662.40,.00,2,9334.40,674042281,RJ11-18-TI-V2-WM-DS,7333943063
5007520,ZZ:805150,INV1100548909919250,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919250,,,,,,,32,19.70,10640.52,630.40,.00,13,10640.52,655574356,RJ04-AO-4-V2-WM,7832903089
5007520,ZZ:805150,INV1100548909919250,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919250,,,,,,,16,33.60,10640.52,537.60,.00,13,10640.52,659322989,RJ23-SPG-SS-WM,7832903089
5007520,ZZ:805150,INV1100548909919250,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919250,,,,,,,20,17.49,10640.52,349.80,.00,13,10640.52,666492037,RJ11-12-WM-DS,7832903089
5007520,ZZ:805150,INV1100548909919250,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919250,,,,,,,4,112.80,10640.52,451.20,.00,13,10640.52,666658131,RJ54-I-SV-BLK-WM,7832903089
5007520,ZZ:805150,INV1100548909919250,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919250,,,,,,,3,278.00,10640.52,834.00,.00,13,10640.52,668863274,RJ54-G-SS,7832903089
5007520,ZZ:805150,INV1100548909919250,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919250,,,,,,,73,13.50,10640.52,985.50,.00,13,10640.52,673247716,RJ11-10-GMRL-WM-DS,7832903089
5007520,ZZ:805150,INV1100548909919250,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919250,,,,,,,2,92.00,10640.52,184.00,.00,13,10640.52,673591894,RJ14-DB-MID-WM,7832903089
5007520,ZZ:805150,INV1100548909919250,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919250,,,,,,,42,20.80,10640.52,873.60,.00,13,10640.52,674042281,RJ11-18-TI-V2-WM-DS,7832903089
5007520,ZZ:805150,INV1100548909919250,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919250,,,,,,,54,87.50,10640.52,4725.00,.00,13,10640.52,674081692,RJ38-T1-CON-WM,7832903089
5007520,ZZ:805150,INV1100548909919250,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919250,,,,,,,8,18.35,10640.52,146.80,.00,13,10640.52,674229275,RJ11-18-SS-WM,7832903089
5007520,ZZ:805150,INV1100548909919250,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919250,,,,,,,8,31.34,10640.52,250.72,.00,13,10640.52,674276942,RJ11-18-CTI-HP-WM,7832903089
5007520,ZZ:805150,INV1100548909919250,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919250,,,,,,,6,48.05,10640.52,288.30,.00,13,10640.52,675053557,RJ31-SS-T-4S-WM,7832903089
5007520,ZZ:805150,INV1100548909919250,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919250,,,,,,,14,27.40,10640.52,383.60,.00,13,10640.52,676929043,RJ31-SS-T-2S-WM,7832903089
5007521,ZZ:805150,INV1100548909919251,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919251,,,,,,,54,87.50,6762.48,4725.00,.00,6,6762.48,674081692,RJ38-T1-CON-WM,7632703727
5007521,ZZ:805150,INV1100548909919251,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919251,,,,,,,2,46.75,6762.48,93.50,.00,6,6762.48,674229195,RJ16-LOCK-3L-WM,7632703727
5007521,ZZ:805150,INV1100548909919251,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919251,,,,,,,36,18.35,6762.48,660.60,.00,6,6762.48,674229275,RJ11-18-SS-WM,7632703727
5007521,ZZ:805150,INV1100548909919251,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919251,,,,,,,2,31.34,6762.48,62.68,.00,6,6762.48,674276942,RJ11-18-CTI-HP-WM,7632703727
5007521,ZZ:805150,INV1100548909919251,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919251,,,,,,,14,48.05,6762.48,672.70,.00,6,6762.48,675053557,RJ31-SS-T-4S-WM,7632703727
5007521,ZZ:805150,INV1100548909919251,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919251,,,,,,,20,27.40,6762.48,548.00,.00,6,6762.48,676929043,RJ31-SS-T-2S-WM,7632703727
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,18,105.00,19232.41,1890.00,.00,16,19232.41,652701478,RJ38-SQPF-45TDB,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,32,30.60,19232.41,979.20,.00,16,19232.41,655535086,RJ02-180-4-R-WM,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,52,19.70,19232.41,1024.40,.00,16,19232.41,655574356,RJ04-AO-4-V2-WM,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,54,33.60,19232.41,1814.40,.00,16,19232.41,659322989,RJ23-SPG-SS-WM,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,41,17.49,19232.41,717.09,.00,16,19232.41,666492037,RJ11-12-WM-DS,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,6,112.80,19232.41,676.80,.00,16,19232.41,666658131,RJ54-I-SV-BLK-WM,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,5,278.00,19232.41,1390.00,.00,16,19232.41,668863274,RJ54-G-SS,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,2,89.20,19232.41,178.40,.00,16,19232.41,669508543,RJ27-T1-TJ-MIDNIGHT,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,111,13.50,19232.41,1498.50,.00,16,19232.41,673247716,RJ11-10-GMRL-WM-DS,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,2,92.00,19232.41,184.00,.00,16,19232.41,673591894,RJ14-DB-MID-WM,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,97,20.80,19232.41,2017.60,.00,16,19232.41,674042281,RJ11-18-TI-V2-WM-DS,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,58,87.50,19232.41,5075.00,.00,16,19232.41,674081692,RJ38-T1-CON-WM,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,36,18.35,19232.41,660.60,.00,16,19232.41,674229275,RJ11-18-SS-WM,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,18,31.34,19232.41,564.12,.00,16,19232.41,674276942,RJ11-18-CTI-HP-WM,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,6,48.05,19232.41,288.30,.00,16,19232.41,675053557,RJ31-SS-T-4S-WM,9432644151
5007522,ZZ:805150,INV1100548909919252,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919252,,,,,,,10,27.40,19232.41,274.00,.00,16,19232.41,676929043,RJ31-SS-T-2S-WM,9432644151
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,30,30.60,13043.85,918.00,.00,15,13043.85,655535086,RJ02-180-4-R-WM,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,32,19.70,13043.85,630.40,.00,15,13043.85,655574356,RJ04-AO-4-V2-WM,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,16,33.60,13043.85,537.60,.00,15,13043.85,659322989,RJ23-SPG-SS-WM,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,25,17.49,13043.85,437.25,.00,15,13043.85,666492037,RJ11-12-WM-DS,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,2,112.80,13043.85,225.60,.00,15,13043.85,666658131,RJ54-I-SV-BLK-WM,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,8,278.00,13043.85,2224.00,.00,15,13043.85,668863274,RJ54-G-SS,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,1,89.20,13043.85,89.20,.00,15,13043.85,669507617,RJ27-T1-TJ-CONCRETE,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,124,13.50,13043.85,1674.00,.00,15,13043.85,673247716,RJ11-10-GMRL-WM-DS,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,2,92.00,13043.85,184.00,.00,15,13043.85,673591894,RJ14-DB-MID-WM,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,59,20.80,13043.85,1227.20,.00,15,13043.85,674042281,RJ11-18-TI-V2-WM-DS,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,46,87.50,13043.85,4025.00,.00,15,13043.85,674081692,RJ38-T1-CON-WM,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,8,18.35,13043.85,146.80,.00,15,13043.85,674229275,RJ11-18-SS-WM,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,10,31.34,13043.85,313.40,.00,15,13043.85,674276942,RJ11-18-CTI-HP-WM,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,4,48.05,13043.85,192.20,.00,15,13043.85,675053557,RJ31-SS-T-4S-WM,6182793790
5007523,ZZ:805150,INV1100548909919253,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919253,,,,,,,8,27.40,13043.85,219.20,.00,15,13043.85,676929043,RJ31-SS-T-2S-WM,6182793790
5007524,ZZ:805150,INV1100548909919254,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919254,,,,,,,60,30.60,6388.40,1836.00,.00,3,6388.40,655535086,RJ02-180-4-R-WM,6929442811
5007524,ZZ:805150,INV1100548909919254,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919254,,,,,,,140,13.50,6388.40,1890.00,.00,3,6388.40,673247716,RJ11-10-GMRL-WM-DS,6929442811
5007524,ZZ:805150,INV1100548909919254,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919254,,,,,,,128,20.80,6388.40,2662.40,.00,3,6388.40,674042281,RJ11-18-TI-V2-WM-DS,6929442811
